Category,Field Name,Row Name,Format / Options,IAU - Categorisation,IAU - Notes
Org Basics,Org Name (Native/Transliterated),whed_org.OrgName,Text (Mandatory),Required,may be difficult to scrape / where OrgName is English then native name is the same
,Org Name (English),whed_org.InstNameEnglish,Text (Mandatory),Required,"if they're scaping information for HEIs that are in the WHED, then won't these already exist?"
,Acronym,whed_org.InstAcronym,Text,Supplemental,
,Is Branch,whed_org.BranchID,Boolean (Yes/No),Required,
,Year of Creation,whed_org.iCreated,YYYY (0000 if unknown),Required,0000 if unknown
,Year Acquired Status,whed_org.iPresentStatusYear,YYYY,Nice-to-have,"but not always easy to find - eg, an institution may have been created as a College in YYYY1 then becomes a university in YYYY2 (so created in YYYY1 and acquired status in YYYY2)"
,Type of Institution (International),whed_org.InstClassCode,"UV, OI, NA, NC, MR, PB, DU, UD, ME, SN",Required,should only be UL
,Type of Institution (National),whed_org.sInstTypeID,Country-specific picklist,Required,
,Funding,whed_org.InstFundingTypeCode,"Pu, Pr, Pp, Mi, Un",Required,Can be classified as unknown but IAU will have to select one of three
,Other Campus,whed_org.iOtherSites,Text (Location),Nice-to-have,
,News,whed_org.iIAUNews,Long Text,Not Collected,
Contact,Street Address,whed_org.Street,Text,Important,
,City,whed_org.City,Text,Required,
,Province,whed_org.Province,Text,Important,
,PostCode,whed_org.PostCode,Text,Important,
,Telephone,whed_org.Tel,Text,Supplemental,Not important but collect if easy
,Email,whed_org.Email,Text,Nice-to-have,
,Website,whed_org.WWW,Text / URL,Important,Very important but not possible to collect in 100% of cases
Status,IAU Membership,whed_org.iIAUMembershipOption,"Member, Former, Not a Member",Not Collected,All current or former IAU members would be present in our dataset
,AAU Membership,whed_org.iAAUMembershipOption,"Member, Former, Not a Member",Not Collected,Not collected but may be required by DB rules
,Partnership,whed_org.iPartnership,"AUF, ACU, Other",Not Collected,Not collected or used
,Student Body,whed_org.iStudentBody,"Co-ed, Female-only, Male-only",Supplemental,
,Learning Modalities,whed_org.iLearning,"Traditional, Online, Both",Supplemental,
Academic,History,whed_org.iHistory,Long-text (Summary),Important,
,Academic Year,whed_org.iAcademicYear,Long-text,Supplemental,
,Admission Requirements,whed_org.iAdmissionRequirements,Long-text,Supplemental,
,Languages of Instruction,whed_org.iLanguagesUsed,Multi-select list,Important,
,Accrediting Body Name,whed_org.iAccreditingAgency,Text,Important,
,Date of Accredited List Used,To Test: whed_org.DateAccredited,Date / Text,Not Collected,Craig to confirm with Nick
,Religious Affiliation,whed_org.ReligionCode,Text,Not Collected,
Finance,Tuition: National Students,whed_org.iFeesN,Numeric + Currency,Nice-to-have,Average Tuition fees for Domestic Students
,Tuition: International Students,whed_org.iFeesI,Numeric + Currency,Nice-to-have,Average Tuition fees for Internation Students
Contacts,FirstName,whed_contact.FirstName,,Required,"Note: Contacts being deleted in the WHED will trigger a sync with our CRM which will convert the contact to be a ""former"" contact and remove their association with their HEI"
,Surname,whed_contact.Surname,,Required,
,Job Title,whed_contact.JobTitle,,Required,
,Job Function,whed_contact.JobFunctionCode,"Text (E.g.: Head of Institution, Senior Admin Officer, International Relations Officer)",Required,contacts are only added where we have an email with the exception of the Head - this contact is added with email or not
,Years of Office,whed_contact.YearsOfOffice,,Nice-to-have,"In format month in letters YYYY - month in letters YYYY (or YYYY - YYYY if month not known) for start and end of time, or month in letters YYYY - (or YYYY -) if still in-office."
,Contact phone number,whed_contact.ContactTel,,Supplemental,If it's easily accesible add to database
,Contact Email,whed_contact.ContactEmail,,Important,"Crucial for outreach activities, but not strictly required"
,Gender,whed_contact.Sex,,Important,
Divisions,Division ID,whed_division.iDivisionID,,Required,Auto generated
,Division Name,whed_division.iDivision,Text,Required,
,Division Type,whed_division.iDivisionTypeCode,Text,Required,
